rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
231,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W3183048323,,10.1007/s10462-023-10562-9,A survey of uncertainty in deep neural networks,2023,Artificial Intelligence Review,Jakob Gawlikowski; Cedrique Rovile Njieutcheu Tassi; Mohsin Ali; JongSeok Lee; Matthias Humt; Jianxiang Feng; Anna Kruspe; Rudolph Triebel,https://doi.org/10.1007/s10462-023-10562-9,1138,22.861,belief-space and uncertain planning,A Survey of Behavior Trees in Robotics and AI | Robotics Task and Motion Planning A Survey | conditional planning robotics manipulation,"Abstract Over the last decade, neural networks have reached almost every field of science and become a crucial part of various real world applications. Due to the increasing spread, confidence in neural network predictions has become more and more important. However, basic neural networks do not deliver certainty estimates or suffer from over- or under-confidence, i.e. are badly calibrated. To overcome this, many researchers have been working on understanding and quantifying uncertainty in a neural networks prediction. As a result, different types and sources of uncertainty have been identified and various approaches to measure and quantify uncertainty in neural networks have been proposed. This work gives a comprehensive overview of uncertainty estimation in neural networks, reviews recent advances in the field, highlights current challenges, and identifies potential research opportunities. It is intended to give anyone interested in uncertainty estimation in neural networks a broad overview and introduction, without presupposing prior knowledge in this field. For that, a comprehensive introduction to the most crucial sources of uncertainty is given and their separation into reducible model uncertainty and irreducible data uncertainty is presented. The modeling of these uncertainties based on deterministic neural networks, Bayesian neural networks (BNNs), ensemble of neural networks, and test-time data augmentation approaches is introduced and different branches of these fields as well as the latest developments are discussed. For a practical application, we discuss different measures of uncertainty, approaches for calibrating neural networks, and give an overview of existing baselines and available implementations. Different examples from the wide spectrum of chall...",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,Probabilistic models are calibrated and solving the belief policy is tractable for the horizon. Learned components are assumed to generalize over the branch regimes considered.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,The field taxonomy and known limitation map.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
232,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4407097675,,10.1109/lra.2025.3537899,Make a Donut: Hierarchical EMD-Space Planning for Zero-Shot Deformable Manipulation With Tools,2025,IEEE Robotics and Automation Letters,Yang You; Bokui Shen; Congyue Deng; Haoran Geng; Songlin Wei; He Wang; Leonidas Guibas,https://doi.org/10.1109/lra.2025.3537899,4,22.775,long-horizon manipulation and rearrangement,long horizon robot manipulation planning,"Deformable object manipulation stands as one of the most captivating yet formidable challenges in robotics. While previous techniques have predominantly relied on learning latent dynamics through demonstrations, typically represented as either particles or images, there exists a pertinent limitation: acquiring suitable demonstrations, especially for long-horizon tasks, can be elusive. Moreover, basing learning entirely on demonstrations can hamper the model's ability to generalize beyond the demonstrated tasks. In this work, we introduce a demonstration-free hierarchical planning approach capable of tackling intricate long-horizon deformable manipulation tasks without necessitating any training. We employ large language models (LLMs) to articulate a high-level, stage-by-stage plan corresponding to a specified task. For every individual stage, the LLM provides both the tool's name and the Python code to craft intermediate subgoal point clouds. With the tool and subgoal for a particular stage at our disposal, we present a granular closed-loop model predictive control strategy. This leverages Differentiable Physics with Point-to-Point correspondence (DiffPhysics-P2P) loss in the Earth Mover Distance (EMD) space, applied iteratively. Experimental findings affirm that our technique surpasses multiple benchmarks in dough manipulation, spanning both short and long horizons. Remarkably, our model demonstrates robust generalization capabilities to novel and previously unencountered complex tasks without any preliminary demonstrations. We further substantiate our approach with experimental trials on real-world robotic platforms.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
233,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4385430674,,10.15607/rss.2023.xix.016,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,2023,,Tony Z. Zhao; Vikas Kumar; Sergey Levine; Chelsea Finn,https://doi.org/10.15607/rss.2023.xix.016,441,22.746,long-horizon manipulation and rearrangement,conditional planning robotics manipulation | failure recovery robot task planning | integrated task and motion planning manipulation | long horizon robot manipulation planning | robot rearrangement planning long horizon,"ALOHA : A Low-cost Open-source Hardware System for Bimanual Teleoperation.The whole system costs <$20k with off-the-shelf robots and 3D printed components.Left: The user teleoperates by backdriving the leader robots, with the follower robots mirroring the motion.Right: ALOHA is capable of precise, contact-rich, and dynamic tasks.We show examples of both teleoperated and learned skills.Abstract-Fine manipulation tasks, such as threading cable ties or slotting a battery, are notoriously difficult for robots because they require precision, careful coordination of contact forces, and closed-loop visual feedback.Performing these tasks typically requires high-end robots, accurate sensors, or careful calibration, which can be expensive and difficult to set up.Can learning enable low-cost and imprecise hardware to perform these fine manipulation tasks?We present a low-cost system that performs end-to-end imitation learning directly from real demonstrations, collected with a custom teleoperation interface.Imitation learning, however, presents its own challenges, particularly in high-precision domains: errors in the policy can compound over time, and human demonstrations can be non-stationary.To address these challenges, we develop a simple yet novel algorithm, Action Chunking with Transformers (ACT), which learns a generative model over action sequences.ACT allows the robot to learn 6 difficult tasks in the real world, such as opening a translucent condiment cup and slotting a battery with 80-90% success, with only 10 minutes worth of demonstrations.Project website: tonyzhaozh.github.io/aloha",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
234,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2019738489,,10.1016/j.robot.2013.09.004,A survey on coverage path planning for robotics,2013,Robotics and Autonomous Systems,Enric Galceran; Marc Carreras,https://doi.org/10.1016/j.robot.2013.09.004,1516,22.719,motion planning substrate,Hierarchical Task and Motion Planning in the Now | Planning Algorithms LaValle motion planning | Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces | Robotics Task and Motion Planning A Survey | Sampling-based algorithms for optimal motion planning | task and motion planning robotics,,How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,The field taxonomy and known limitation map.,Physically grounded branch conditions embedded directly in task-motion skeletons.
235,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4399176226,,10.1609/icaps.v34i1.31468,Combined Task and Motion Planning via Sketch Decompositions,2024,Proceedings of the International Conference on Automated Planning and Scheduling,Magi Dalmau Moreno; Nestor Garcia; Vicenc Gomez; Hector Geffner,http://dx.doi.org/10.1609/icaps.v34i1.31468,1,22.709,optimization / geometric-constraint TAMP,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"The challenge in combined task and motion planning (TAMP) is the effective integration of a search over a combinatorial space, usually carried out by a task planner, and a search over a continuous configuration space, carried out by a motion planner. Using motion planners for testing the feasibility of task plans and filling out the details is not effective because it makes the geometrical constraints play a passive role. This work introduces a new interleaved approach for integrating the two dimensions of TAMP that makes use of sketches, a recent simple but powerful language for expressing the decomposition of problems into subproblems. A sketch has width 1 if it decomposes the problem into subproblems that can be solved greedily in linear time. In the paper, a general sketch is introduced for several classes of TAMP problems which has width 1 under suitable assumptions. While sketch decompositions have been developed for classical planning, they offer two important benefits in the context of TAMP. First, when a task plan is found to be unfeasible due to the geometric constraints, the combinatorial search resumes in a specific subproblem. Second, the sampling of object configurations is not done once, globally, at the start of the search, but locally, at the start of each subproblem. Optimizations of this basic setting are also considered and experimental results over existing and new pick-and-place benchmarks are reported.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
236,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4366668639,,10.1109/tse.2023.3269081,Behavior Trees and State Machines in Robotics Applications,2023,IEEE Transactions on Software Engineering,Razan Ghzouli; Thorsten Berger; Einar Broch Johnsen; Andrzej Wasowski; Swaib Dragule,https://doi.org/10.1109/tse.2023.3269081,63,22.654,behavior trees and reactive execution,A Survey of Behavior Trees in Robotics and AI | Behavior Trees in Robotics and AI An Introduction | behavior trees robotics manipulation | conditional planning robotics manipulation | long horizon robot manipulation planning,"Autonomous robots combine skills to form increasingly complex behaviors, called missions. While skills are often programmed at a relatively low abstraction level, their coordination is architecturally separated and often expressed in higher-level languages or frameworks. State machines have been the go-to language to model behavior for decades, but recently, behavior trees have gained attention among roboticists. Originally designed to model autonomous actors in computer games, behavior trees offer an extensible tree-based representation of missions and are claimed to support modular design and code reuse. Although several implementations of behavior trees are in use, little is known about their usage and scope in the real world. How do concepts offered by behavior trees relate to traditional languages, such as state machines? How are concepts in behavior trees and state machines used in actual applications? This paper is a study of the key language concepts in behavior trees as realized in domain-specific languages (DSLs), internal and external DSLs offered as libraries, and their use in open-source robotic applications supported by the Robot Operating System (ROS). We analyze behavior-tree DSLs and compare them to the standard language for behavior models in robotics: state machines. We identify DSLs for both behavior-modeling languages, and we analyze five in-depth. We mine open-source repositories for robotic applications that use the analyzed DSLs and analyze their usage. We identify similarities between behavior trees and state machines in terms of language design and the concepts offered to accommodate the needs of the robotics domain. We observed that the usage of behavior-tree DSLs in open-source projects is increasing rapidly. We observed similar usage patt...",How to solve behavior trees and reactive execution problems for robot or embodied agents under long-horizon constraints.,"Composes fallback, sequence, and condition nodes to execute reactive robot behaviors.",The tree structure and condition placement are supplied or locally learned rather than synthesized from TAMP alternatives.,"Node library, condition tests, fallback order, and recovery semantics.",Global sharing and dominance among many long-horizon alternatives; geometric proof obligations.,Reactive fallbacks and runtime condition checks as a representation pattern.,Automatic compilation of physical contingency skeletons from candidate task-motion plans.
237,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2796864868,,10.3390/robotics7020017,Robot Learning from Demonstration in Robotic Assembly: A Survey,2018,Robotics,Zuyuan Zhu; Huosheng Hu,https://doi.org/10.3390/robotics7020017,251,22.647,long-horizon manipulation and rearrangement,Robotics Task and Motion Planning A Survey | failure recovery robot task planning | integrated task and motion planning manipulation | task and motion planning robotics,"Learning from demonstration (LfD) has been used to help robots to implement manipulation tasks autonomously, in particular, to learn manipulation behaviors from observing the motion executed by human demonstrators. This paper reviews recent research and development in the field of LfD. The main focus is placed on how to demonstrate the example behaviors to the robot in assembly operations, and how to extract the manipulation features for robot learning and generating imitative behaviors. Diverse metrics are analyzed to evaluate the performance of robot imitation learning. Specifically, the application of LfD in robotic assembly is a focal point in this paper.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,The field taxonomy and known limitation map.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
238,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4390872260,,10.1109/iccv51070.2023.00996,Skill Transformer: A Monolithic Policy for Mobile Manipulation,2023,arXiv (Cornell University),Xiaoyu Huang; Dhruv Batra; Akshara Rai; Andrew Szot,https://doi.org/10.1109/iccv51070.2023.00996,13,22.622,long-horizon manipulation and rearrangement,conditional planning robotics manipulation | robot rearrangement planning long horizon,"We present Skill Transformer, an approach for solving long-horizon robotic tasks by combining conditional sequence modeling and skill modularity. Conditioned on egocentric and proprioceptive observations of a robot, Skill Transformer is trained end-to-end to predict both a high-level skill (e.g., navigation, picking, placing), and a whole-body low-level action (e.g., base and arm motion), using a transformer architecture and demonstration trajectories that solve the full task. It retains the composability and modularity of the overall task through a skill predictor module while reasoning about low-level actions and avoiding hand-off errors, common in modular approaches. We test Skill Transformer on an embodied rearrangement benchmark and find it performs robust task planning and low-level control in new scenarios, achieving a 2.5x higher success rate than baselines in hard rearrangement problems.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
239,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4389072728,,10.48550/arxiv.2311.14328,Offline Skill Generalization via Task and Motion Planning,2023,arXiv (Cornell University),Shin Watanabe; Geir Horn; Jim Trresen; Kai Olav Ellefsen,http://arxiv.org/abs/2311.14328,0,22.6,long-horizon manipulation and rearrangement,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"This paper presents a novel approach to generalizing robot manipulation skills by combining a sampling-based task-and-motion planner with an offline reinforcement learning algorithm. Starting with a small library of scripted primitive skills (e.g. Push) and object-centric symbolic predicates (e.g. On(block, plate)), the planner autonomously generates a demonstration dataset of manipulation skills in the context of a long-horizon task. An offline reinforcement learning algorithm then extracts a policy from the dataset without further interactions with the environment and replaces the scripted skill in the existing library. Refining the skill library improves the robustness of the planner, which in turn facilitates data collection for more complex manipulation skills. We validate our approach in simulation, on a block-pushing task. We show that the proposed method requires less training data than conventional reinforcement learning methods. Furthermore, interaction with the environment is collision-free because of the use of planner demonstrations, making the approach more amenable to persistent robot learning in the real world.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
240,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W1535672099,,10.48550/arxiv.1212.2495,Policy-contingent abstraction for robust robot control,2012,arXiv (Cornell University),Joelle Pineau; Geoff Gordon; Sebastian Thrun,http://arxiv.org/abs/1212.2495,52,22.552,contingent and nondeterministic planning,contingent planning robot execution,"This paper presents a scalable control algorithm that enables a deployed mobile robot system to make high-level decisions under full consideration of its probabilistic belief. Our approach is based on insights from the rich literature of hierarchical controllers and hierarchical MDPs. The resulting controller has been successfully deployed in a nursing facility near Pittsburgh, PA. To the best of our knowledge, this work is a unique instance of applying POMDPs to high-level robotic control problems.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
241,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2994446013,,10.1146/annurev-control-100819-063206,Recent Advances in Robot Learning from Demonstration,2019,Annual Review of Control Robotics and Autonomous Systems,Harish Ravichandar; Athanasios Polydoros; Sonia Chernova; Aude Billard,https://doi.org/10.1146/annurev-control-100819-063206,717,22.522,general robot / AI planning,A Survey of Behavior Trees in Robotics and AI | Robotics Task and Motion Planning A Survey | behavior trees robotics manipulation | conditional planning robotics manipulation | long horizon robot manipulation planning | task and motion planning robotics,"In the context of robotics and automation, learning from demonstration (LfD) is the paradigm in which robots acquire new skills by learning to imitate an expert. The choice of LfD over other robot learning methods is compelling when ideal behavior can be neither easily scripted (as is done in traditional robot programming) nor easily defined as an optimization problem, but can be demonstrated. While there have been multiple surveys of this field in the past, there is a need for a new one given the considerable growth in the number of publications in recent years. This review aims to provide an overview of the collection of machine-learning methods used to enable a robot to learn from and imitate a teacher. We focus on recent advancements in the field and present an updated taxonomy and characterization of existing methods. We also discuss mature and emerging application areas for LfD and highlight the significant challenges that remain to be overcome both in theory and in practice.",How to solve general robot / AI planning problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,The abstraction used by the planner is sufficiently faithful during execution. Learned components are assumed to generalize over the branch regimes considered.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,The field taxonomy and known limitation map.,Physically grounded branch conditions embedded directly in task-motion skeletons.
242,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4200635284,,10.48550/arxiv.2112.03227,CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks,2021,arXiv (Cornell University),Oier Mees; Lukas Hermann; Erick Rosete-Beas; Wolfram Burgard,http://arxiv.org/abs/2112.03227,6,22.513,long-horizon manipulation and rearrangement,long horizon robot manipulation planning | robot rearrangement planning long horizon,"General-purpose robots coexisting with humans in their environment must learn to relate human language to their perceptions and actions to be useful in a range of daily tasks. Moreover, they need to acquire a diverse repertoire of general-purpose skills that allow composing long-horizon tasks by following unconstrained language instructions. In this paper, we present CALVIN (Composing Actions from Language and Vision), an open-source simulated benchmark to learn long-horizon language-conditioned tasks. Our aim is to make it possible to develop agents that can solve many robotic manipulation tasks over a long horizon, from onboard sensors, and specified only via human language. CALVIN tasks are more complex in terms of sequence length, action space, and language than existing vision-and-language task datasets and supports flexible specification of sensor suites. We evaluate the agents in zero-shot to novel language instructions and to novel environments and objects. We show that a baseline model based on multi-context imitation learning performs poorly on CALVIN, suggesting that there is significant room for developing innovative agents that learn to relate human language to their world models with this benchmark.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
243,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2084501107,,10.1109/icra.2013.6630906,Use of relaxation methods in sampling-based algorithms for optimal motion planning,2013,,Oktay Arslan; Panagiotis Tsiotras,https://doi.org/10.1109/icra.2013.6630906,178,22.5,motion planning substrate,Sampling-based algorithms for optimal motion planning,"Several variants of incremental sampling-based algorithms have been recently proposed in order to optimally solve motion planning problems. Popular examples include the RRT* and the PRM* algorithms. These algorithms are asymptotically optimal and thus provide high quality solutions. However, the convergence rate to the optimal solution may still be slow. Borrowing from ideas used in the well-known LPA* algorithm, in this paper we present a new incremental sampling-based motion planning algorithm based on Rapidly-exploring Random Graphs (RRG), denoted by RRT <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">#</sup> (RRT sharp), which also guarantees asymptotic optimality, but, in addition, it also ensures that the constructed spanning tree rooted at the initial state contains lowest-cost path information for vertices which have the potential to be part of the optimal solution. This implies that the best possible solution is readily computed if there are some vertices in the current graph that are already in the goal region.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
244,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W1968932964,,10.1109/aero.2005.1559297,Mission planning and target tracking for autonomous instrument placement,2005,,Lasse Heje Pedersen; David E. Smith; M. Deans; Randy Sargent; C. Kunz; David Lees; Srikanth Rajagopalan,https://doi.org/10.1109/aero.2005.1559297,26,22.473,contingent and nondeterministic planning,contingent planning robot execution,"Future planetary rover missions, such as the upcoming Mars Science Laboratory, will require rovers to autonomously navigate to science targets specified from up to 10 meters away, and to place instruments against these targets with up to 1 centimeter precision. The current state of the art, demonstrated by the Mars Exploration Rover (MER) mission, typically requires three sols (Martian days) for approach and placement, with several communication cycles between the rovers and ground operations. The capability for goal level commanding of a rover to visit multiple science targets in a single sol represents a tenfold increase in productivity, and decreases daily operations costs. Such a capability requires a high degree of robotic autonomy: visual target tracking and navigation for the rover to approach the targets, mission planning for determining the most beneficial course of action given a large set of desired goals in the face of uncertainty, and robust execution for coping with variations in time and power consumption, as well as the possibility of failures in tracking or navigation due to occlusion or unexpected obstacles. We have developed a system that provides these features. The system uses a vision-based target tracker that recovers the 6-DOF transformations between the rover and the tracked targets as the rover moves, and an off-board planner that creates plans that are carried out on an on-board robust executive. The tracker comprises a feature based approach that tracks a set of interest points in 3D using stereo, with a shape based approach that registers dense 3D meshes. The off-board planner, in addition to generating a primary activity sequence, creates a large set of contingent, or alternate plans to deal with anticipated failures in tracking and the...",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
245,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2271206385,,10.1561/2300000035,A Review of Point Cloud Registration Algorithms for Mobile Robotics,2015,Foundations and Trends in Robotics,Francois Pomerleau; Francis Colas; Roland Siegwart,https://doi.org/10.1561/2300000035,687,22.454,general robot / AI planning,Robotics Task and Motion Planning A Survey | Sampling-based algorithms for optimal motion planning | behavior trees robotics manipulation | execution monitoring robot planning | long horizon robot manipulation planning | task and motion planning robotics,"The topic of this review is geometric registration in robotics. Registration algorithms associate sets of data into a common coordinate system. They have been used extensively in object reconstruction, inspection, medical application, and localization of mobile robotics. We focus on mobile robotics applications in which point clouds are to be registered. While the underlying principle of those algorithms is simple, many variations have been proposed for many different applications. In this review, we give a historical perspective of the registration problem and show that the plethora of solutions can be organized and differentiated according to a few elements. Accordingly, we present a formalization of geometric registration and cast algorithms proposed in the literature into this framework. Finally, we review a few applications of this framework in mobile robotics that cover different kinds of platforms, environments, and tasks. These examples allow us to study the specific requirements of each use case and the necessary configuration choices leading to the registration implementation. Ultimately, the objective of this review is to provide guidelines for the choice of geometric registration configuration.",How to solve general robot / AI planning problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
246,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2166853159,,10.1109/aero.1999.794236,Autonomous rovers for Mars exploration,1999,,R. Washington; Keith Golden; John Bresina; David E. Smith; C F Anderson; Trey Smith,https://doi.org/10.1109/aero.1999.794236,81,22.451,contingent and nondeterministic planning,contingent planning robot execution | failure recovery robot task planning,"The Pathfinder mission demonstrated the potential for robotic Mars exploration but at the same time indicated the need for more robust rover autonomy. Future planned missions call for long traverses over unknown terrain, robust navigation and instrument placement, and reliable operations for extended periods of time. Ultimately, missions may visit multiple science sites in a single day and perform opportunistic science data collection, as well as complex scouting, construction, and maintenance tasks in preparation for an eventual human presence. Significant advances in robust autonomous operations are needed to enable these types of missions. Towards this end, we have designed an on-board executive architecture that incorporates robust flexible operation, resource utilization, and failure recovery. In addition, we have designed ground tools to produce and refine contingent schedules that take advantage of the on-board architecture's flexible execution characteristics. Together, the on-board executive and the ground tools constitute an integrated rover autonomy architecture.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
247,serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4286901450,,10.48550/arxiv.2110.09153,Probabilistic Inference in Planning for Partially Observable Long Horizon Problems,2021,arXiv (Cornell University),Alphonsus Adu-Bredu; Nikhil Devraj; Pin-Han Lin; Zhen Zeng; Odest Chadwicke Jenkins,http://arxiv.org/abs/2110.09153,0,22.4,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning,"For autonomous service robots to successfully perform long horizon tasks in the real world, they must act intelligently in partially observable environments. Most Task and Motion Planning approaches assume full observability of their state space, making them ineffective in stochastic and partially observable domains that reflect the uncertainties in the real world. We propose an online planning and execution approach for performing long horizon tasks in partially observable domains. Given the robot's belief and a plan skeleton composed of symbolic actions, our approach grounds each symbolic action by inferring continuous action parameters needed to execute the plan successfully. To achieve this, we formulate the problem of joint inference of action parameters as a Hybrid Constraint Satisfaction Problem (H-CSP) and solve the H-CSP using Belief Propagation. The robot executes the resulting parameterized actions, updates its belief of the world and replans when necessary. Our approach is able to efficiently solve partially observable tasks in a realistic kitchen simulation environment. Our approach outperformed an adaptation of the state-of-the-art method across our experiments.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
